colour	x	y	group	clickSelects
#F27C56	1602095400	734427	2	Andhra Pradesh
#F27C56	1602181800	739719	2	Andhra Pradesh
#F27C56	1602268200	744864	2	Andhra Pradesh
#F27C56	1602354600	750517	2	Andhra Pradesh
#F27C56	1602441000	755727	2	Andhra Pradesh
#F27C56	1602527400	758951	2	Andhra Pradesh
#F27C56	1602613800	763573	2	Andhra Pradesh
#F27C56	1602700200	767465	2	Andhra Pradesh
#F27C56	1602786600	771503	2	Andhra Pradesh
#F27C56	1602873000	775470	2	Andhra Pradesh
#F27C56	1602959400	779146	2	Andhra Pradesh
#F27C56	1603045800	783132	2	Andhra Pradesh
#F27C56	1603132200	786050	2	Andhra Pradesh
#F27C56	1603218600	789553	2	Andhra Pradesh
#F27C56	1603305000	793299	2	Andhra Pradesh
#F27C56	1603391400	796919	2	Andhra Pradesh
#F27C56	1603477800	800684	2	Andhra Pradesh
#F27C56	1603564200	804026	2	Andhra Pradesh
#F27C56	1603650600	807023	2	Andhra Pradesh
#F27C56	1603737000	808924	2	Andhra Pradesh
#F27C56	1603823400	811825	2	Andhra Pradesh
#F27C56	1603909800	814774	2	Andhra Pradesh
#F27C56	1603996200	817679	2	Andhra Pradesh
#F27C56	1604082600	820565	2	Andhra Pradesh
#F27C56	1604169000	823348	2	Andhra Pradesh
#F27C56	1604255400	825966	2	Andhra Pradesh
#F27C56	1604341800	827882	2	Andhra Pradesh
#F27C56	1604428200	830731	2	Andhra Pradesh
#F27C56	1604514600	833208	2	Andhra Pradesh
#F27C56	1604601000	835953	2	Andhra Pradesh
#F27C56	1604687400	838363	2	Andhra Pradesh
#F27C56	1604773800	840730	2	Andhra Pradesh
#F27C56	1604860200	842967	2	Andhra Pradesh
